combo_id,events,n_events,n_rows,train_exit_code,selected_model,selected_mae,passed_train,early_stopped,rel_mae_focus,rel_mae_overall,n_eval_rows,model_dir,search_mode,beam_direction,round_k
7d4f5165567e,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack,16,519,0,xgboost,0.16462827518549705,True,False,0.3552534501901726,0.16406230894532386,10,src/shocks/reverse_search_runs/combo_7d4f5165567e/model,beam,reverse,16
b5197139e452,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2020_china_covid,16,500,0,gbrt,0.1658100253482149,True,False,0.2800346355163809,0.1485144892972468,10,src/shocks/reverse_search_runs/combo_b5197139e452/model,beam,reverse,16
004f3767d001,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_saudi_aramco_attack|2020_china_covid,16,525,0,gbrt,0.15845626315337102,True,False,0.32473487864337885,0.14694443654048323,10,src/shocks/reverse_search_runs/combo_004f3767d001/model,beam,reverse,16
51db4b8269d1,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,486,0,gbrt,0.1622563269514612,True,False,0.2953525587263427,0.14422640859296454,10,src/shocks/reverse_search_runs/combo_51db4b8269d1/model,beam,reverse,16
5112f15032f4,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,505,0,gbrt,0.17286439098702866,True,False,0.274844351689014,0.13187988098391032,10,src/shocks/reverse_search_runs/combo_5112f15032f4/model,beam,reverse,16
d75a45c202ed,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,468,0,gbrt,0.16879771798473953,True,False,0.24664232107409131,0.1213661753148455,10,src/shocks/reverse_search_runs/combo_d75a45c202ed/model,beam,reverse,16
91b8857f0d68,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,504,0,gbrt,0.16519425300592666,True,False,0.25974447957403424,0.10926332198956232,10,src/shocks/reverse_search_runs/combo_91b8857f0d68/model,beam,reverse,16
6b6265f3211b,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,522,0,gbrt,0.1699627364545364,True,False,0.24033022792492245,0.11243284871662211,10,src/shocks/reverse_search_runs/combo_6b6265f3211b/model,beam,reverse,16
861f373f8e3a,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,480,0,gbrt,0.16826922620117496,True,False,0.2957878813577368,0.1340844703536978,10,src/shocks/reverse_search_runs/combo_861f373f8e3a/model,beam,reverse,16
9cc50b017095,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,493,0,gbrt,0.16167691908217627,True,False,0.3355692623778858,0.14837205546189103,10,src/shocks/reverse_search_runs/combo_9cc50b017095/model,beam,reverse,16
01f620d139ca,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,520,0,gbrt,0.16362982858388503,True,False,0.2822200127085601,0.1315284742680108,10,src/shocks/reverse_search_runs/combo_01f620d139ca/model,beam,reverse,16
f4fe7ac82514,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,527,0,gbrt,0.16868954621919868,True,False,0.2876796212236622,0.13511321890284156,10,src/shocks/reverse_search_runs/combo_f4fe7ac82514/model,beam,reverse,16
a128d1cac94c,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,16,516,0,gbrt,0.16398865152914183,True,False,0.26067549842010423,0.11482683371358818,10,src/shocks/reverse_search_runs/combo_a128d1cac94c/model,beam,reverse,16
