shock_event,months_after_shock,mean,median,n,std,sem
2019_brumadinho_dam_collapse,2,-0.8733302872173411,-0.8733302872173411,2,0.044558399894092805,0.031507546723934965
2019_brumadinho_dam_collapse,3,-0.1491969462153501,-0.1491969462153501,1,,
2019_brumadinho_dam_collapse,4,-0.9586667386963188,-0.9586667386963188,1,,
2019_brumadinho_dam_collapse,5,-0.7933108358885593,-0.7933108358885593,1,,
2019_brumadinho_dam_collapse,6,-0.3254637517518916,-0.3254637517518916,1,,
2019_brumadinho_dam_collapse,7,-0.7026718761604794,-0.7026718761604794,1,,
2019_brumadinho_dam_collapse,8,0.0448906033213951,0.0448906033213951,1,,
2019_brumadinho_dam_collapse,9,0.0100370451104512,0.0100370451104512,1,,
2019_brumadinho_dam_collapse,10,-0.9505330910225896,-0.9505330910225896,1,,
2019_brumadinho_dam_collapse,11,-0.8287330666782395,-0.8287330666782395,1,,
2019_saudi_aramco_attack,0,-1.0915758696327003,-1.0910818959863753,3,0.028827450688281953,0.01664353641493025
2019_saudi_aramco_attack,1,-1.016806420324373,-1.0297853910943746,4,0.07664614035688411,0.038323070178442054
2019_saudi_aramco_attack,2,-0.9552886732260425,-0.9509422187828336,4,0.049217461014442486,0.024608730507221243
2019_saudi_aramco_attack,3,-0.7971292891198026,-0.8014812308998873,4,0.030424292328232086,0.015212146164116043
2019_saudi_aramco_attack,4,-0.8132162836136824,-0.8132162836136824,1,,
2019_saudi_aramco_attack,5,-1.0629550759412871,-1.0629550759412871,1,,
2020_china_covid,0,-0.9938679362228017,-0.9940671686464588,7,0.05870505352465241,0.022188424618423724
2020_china_covid,1,-0.9785547376322101,-1.0033012516921076,4,0.05450980583278372,0.02725490291639186
2020_china_covid,2,-1.0690181490828976,-1.0511183031797475,3,0.07350964144250845,0.042440811274865126
2020_china_covid,3,-1.1519471094640426,-1.1608226542798477,3,0.10099699332279712,0.058310641282259754
2020_china_covid,4,-0.9221723085431617,-0.9221723085431617,2,0.09353616031465152,0.06614005324464212
2021_suez_canal,0,-0.6464021126668839,-0.67849706817173,3,0.21291855592699846,0.12292858557991895
2021_suez_canal,1,3.3208481304792605,1.891599794168369,3,2.7180875279891605,1.5692885659655065
2021_suez_canal,2,0.5710170450536328,0.1376061250375805,3,0.82603473336002,0.4769113756653883
2021_suez_canal,3,-0.6746036847983339,-0.6746036847983339,1,,
2021_suez_canal,4,-0.7448331137945274,-0.7448331137945274,1,,
2021_suez_canal,5,-0.7102981092283086,-0.7102981092283086,1,,
2021_suez_canal,6,-0.8469129828706468,-0.8469129828706468,1,,
2021_suez_canal,7,-0.8533469105357641,-0.8533469105357641,1,,
2021_suez_canal,8,-0.7655840695718066,-0.7655840695718066,1,,
2021_suez_canal,9,-0.7360051614483352,-0.7360051614483352,1,,
2021_texas_winter_storm_uri,0,-0.9584890332079109,-0.92651254987542,3,0.1971980932714132,0.11385237223393134
2021_texas_winter_storm_uri,1,-0.7469242672286502,-0.7469242672286502,1,,
2021_texas_winter_storm_uri,2,-0.5682139141673519,-0.5682139141673519,1,,
2021_texas_winter_storm_uri,3,-0.3899670487821134,-0.3899670487821134,1,,
