shock_event,shock_node,shock_date,target_node,target_country,observation_date,months_after_shock,shock_yoy_dev,shock_value,shock_expected,shock_dev_abs,shock_dev_pct,shock_dev_z,shock_dev_abs_weighted,shock_resid_std,shock_yoy_actual,shock_yoy_expected,shock_logyoy_actual,shock_logyoy_expected,shock_logyoy_dev,export_baseline,export_observed,yoy_change,prop_expected,prop_dev_abs,prop_dev_pct,prop_dev_z,prop_resid_std,prop_yoy_actual,prop_yoy_expected,prop_yoy_dev,prop_logyoy_actual,prop_logyoy_expected,prop_logyoy_dev,icio_edge_value,supplier_hhi,shocked_supplier_share,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate
2011_japan_earthquake,JPN_C29,2011-03,CAN_C29,CAN,2011-06,3,-0.4561452233467539,-221277233.90919828,599740766.649388,-270476667.74138796,-0.4509892986806252,,-221277233.90919828,0.0,-0.4447127466090299,0.0114324767377239,-0.5882697241027124,0.0113676198051635,-0.5996373439078759,5207503756.669,4823614062.493,-0.0737185630801265,5461075451.577883,-637461389.0848827,-0.1167281783115996,,0.0,-0.0737185630801265,0.048693521264223,-0.1224120843443495,-0.0765771629380438,0.0475451239568762,-0.1241222868949201,1158.798583984375,0.0795924270090925,0.0239745565635986,10.76978239226268,3.09080634469335,2.84863779561802,8.178
2011_japan_earthquake,JPN_C29,2011-03,CAN_C29,CAN,2011-07,4,-0.0698573586908484,-23572209.664669003,417174834.5479527,-28813324.39295274,-0.0690677433219926,,-23572209.664669003,0.0,-0.0584248819531232,0.0114324767377252,-0.0602011484186419,0.0113676197968217,-0.0715687682154637,3292208465.571,3480320017.4119997,0.0571384083991696,3655363404.900647,-175043387.48864746,-0.0478867264617169,,0.0,0.0571384083991696,0.1103073949075279,-0.0531689865083582,0.0555656428584825,0.1046369093045029,-0.0490712664460204,1158.798583984375,0.0795924270090925,0.0239745565635986,10.76978239226268,3.09080634469335,2.84863779561802,8.178
2011_japan_earthquake,JPN_C29,2011-03,CAN_C29,CAN,2011-08,5,-0.0019600284046485,-649249.3182414632,409523761.0245179,-793605.329517901,-0.0019378737085548,,-649249.3182414634,0.0,0.0094724483330754,0.011432476737724,0.0094278659859092,0.0113676197963101,-0.0019397538104009,4913247933.936,4842499802.646,-0.0143994628891694,5277730097.611665,-435230294.96566486,-0.0824654324711716,,0.0,-0.0143994628891694,0.0741835479455803,-0.0885830108347498,-0.0145041412418258,0.0715608827235314,-0.0860650239653573,1158.798583984375,0.0795924270090925,0.0239745565635986,10.76978239226268,3.09080634469335,2.84863779561802,8.178
2011_japan_earthquake,JPN_C29,2011-03,CAN_C29,CAN,2011-09,6,-0.2362096959764034,-107013275.56809206,560105587.2531856,-130806923.37118566,-0.2335397581243137,,-107013275.56809206,0.0,-0.22477721923868,0.0114324767377234,-0.2546048313667697,0.0113676198038135,-0.2659724511705832,5018611462.572,5220835820.668,0.0402948822805187,5390909866.625953,-170074045.9579525,-0.0315483007814408,,0.0,0.0402948822805187,0.0741835479455811,-0.0338886656650624,0.0395042136098524,0.0715608827238263,-0.0320566691139738,1158.798583984375,0.0795924270090925,0.0239745565635986,10.76978239226268,3.09080634469335,2.84863779561802,8.178
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-03,0,-0.0841336792446389,-16360105.954679208,390177228.5168718,-25017087.51687181,-0.0641172413161216,,-16360105.954679212,0.0,0.2280512731588643,0.3121849524035033,0.2054285816154752,0.2716936496062203,-0.066265067990745,6259993612.0,7646217670.0,0.2214417687811531,7376038945.232483,270178724.7675171,0.0366292432528637,,0.0,0.2214417687811531,0.1782821840413857,0.0431595847397674,0.2000319386560889,0.1640576015455401,0.0359743371105487,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-04,1,-0.5342246819882314,-106085110.29039958,398452147.6343097,-162220250.6343097,-0.4071260541509033,,-106085110.29039958,0.0,-0.2220397295847227,0.3121849524035086,-0.2510798214720218,0.2716936496228399,-0.5227734710948617,5688334281.0,6619857583.0,0.1637602953665092,6702462940.174159,-82605357.17415905,-0.0123246272171126,,0.0,0.1637602953665092,0.1782821840413845,-0.0145218886748753,0.1516563962619272,0.1640576015431101,-0.0124012052811828,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-05,2,-0.2489997489638564,-47385914.3042597,381852857.0851362,-72460262.08513618,-0.1897596436445695,,-47385914.3042597,0.0,0.0631852034396534,0.3121849524035099,0.0612693111102409,0.27169364958878,-0.2104243384785391,5660458879.0,7100956012.0,0.25448416176013,6669617850.624567,431338161.37543297,0.0646720953187806,,0.0,0.25448416176013,0.1782821840413845,0.0762019777187454,0.226724461567418,0.1640576015429786,0.0626668600244393,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-06,3,-0.0144545409991611,-2948833.247438918,409346987.0373786,-4509214.037378609,-0.0110156277685436,,-2948833.2474389244,0.0,0.2977304114043447,0.3121849524035058,0.2606169006006382,0.2716936496436908,-0.0110767490430525,5911361504.0,7350886886.0,0.2435184146707871,6965251943.591287,385634942.40871334,0.0553655410503183,,0.0,0.2435184146707871,0.178282184041385,0.0652362306294021,0.217944792860635,0.1640576015441119,0.053887191316523,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-07,4,-0.3215640772216541,-66903260.16779743,417470165.0869183,-102305249.0869183,-0.2450600249855414,,-66903260.16779743,0.0,-0.0093791248181503,0.3121849524035037,-0.0094233857496845,0.2716936496585305,-0.2811170354082151,4995694963.0,6677535250.0,0.3366579223624226,5886338371.8081875,791196878.1918125,0.1344124017710469,,0.0,0.3366579223624226,0.1782821840413853,0.1583757383210373,0.290172410705054,0.1640576015394188,0.1261148091656352,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-08,5,-0.0058554857295772,-1344309.459652189,460661605.39827514,-2055653.398275137,-0.0044623935969177,,-1344309.4596521957,0.0,0.3063294666739325,0.3121849524035098,0.2672212699438496,0.2716936497286468,-0.0044723797847971,6529321948.0,7559038997.0,0.1577065822761907,7693383725.198793,-134344728.1987934,-0.0174623719545877,,0.0,0.1577065822761907,0.1782821840413854,-0.0205756017651947,0.1464409638418189,0.1640576015465384,-0.0176166377047195,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
