combo_id,events,n_events,n_rows,train_exit_code,selected_model,selected_mae,passed_train,early_stopped,rel_mae_focus,rel_mae_overall,n_eval_rows,model_dir,search_mode,round_k
4c42a4e7a9b0,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs|2019_saudi_aramco_attack,6,217,0,rf,0.22984217287738887,True,True,0.3633529034179619,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_4c42a4e7a9b0/model,beam,6
25892185a6c6,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs|2020_china_covid,6,198,0,gbrt,0.20307594877100596,True,True,0.3291843812944232,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_25892185a6c6/model,beam,6
db8abf4bde28,2011_japan_earthquake|2011_queensland_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,236,0,catboost,0.19240707802978882,True,True,0.27572506714548206,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_db8abf4bde28/model,beam,6
d67419509281,2011_japan_earthquake|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,259,0,ridge,0.07950680565320595,True,True,0.32624421613315513,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_d67419509281/model,beam,6
eb3325c819a9,2011_japan_earthquake|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,224,0,rf,0.07604800337006383,True,True,0.3712039740211304,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_eb3325c819a9/model,beam,6
0ff6dadd51ed,2011_japan_earthquake|2014_indonesia_mineral_export_ban|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,213,0,ridge,0.07812695881208487,True,True,0.3467817380804674,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_0ff6dadd51ed/model,beam,6
88f531ad2efb,2011_japan_earthquake|2014_russia_crimea_sanctions|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,220,0,rf,0.08334561799985835,True,True,0.3663227991277264,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_88f531ad2efb/model,beam,6
f098bddb3f58,2011_japan_earthquake|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,247,0,gbrt,0.1104300469312524,True,True,0.38628503030342204,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_f098bddb3f58/model,beam,6
356566763a47,2011_japan_earthquake|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,260,0,gbrt,0.09429810791875866,True,True,0.3659782113017968,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_356566763a47/model,beam,6
4fcfc94a1257,2011_japan_earthquake|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,236,0,rf,0.0970033563184854,True,True,0.3649660661452897,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_4fcfc94a1257/model,beam,6
d190e4bdaace,2011_japan_earthquake|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse,6,215,0,catboost,0.10131569834059068,True,True,0.3758669929296557,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_d190e4bdaace/model,beam,6
7ce00ecf883e,2011_japan_earthquake|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_saudi_aramco_attack,6,240,0,gbrt,0.14227086073625786,True,True,0.3588901829493583,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_7ce00ecf883e/model,beam,6
bb2a87dbba7c,2011_japan_earthquake|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2020_china_covid,6,221,0,ridge,0.08278710977823033,True,True,0.33556288586331484,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_bb2a87dbba7c/model,beam,6
22e7d3426de8,2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,208,0,catboost,0.1786906166493669,True,True,0.19058972308292002,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_22e7d3426de8/model,beam,6
11f25c965c90,2011_queensland_floods|2011_thailand_floods|2014_indonesia_mineral_export_ban|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,197,0,catboost,0.20011177726303986,True,True,0.23447860588912264,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_11f25c965c90/model,beam,6
bb96c35d566c,2011_queensland_floods|2011_thailand_floods|2014_russia_crimea_sanctions|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,204,0,catboost,0.194179210141314,True,True,0.19748291958217293,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_bb96c35d566c/model,beam,6
b1ed6d9e16fd,2011_queensland_floods|2011_thailand_floods|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,231,0,catboost,0.2365952432477334,True,True,0.19399968930632114,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_b1ed6d9e16fd/model,beam,6
